linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"5,4,3",xCA,D,Fru,p,a,,,,,,,,
"5,4",sCA,D,Fru,p,a,,,,,,,,
"5,3",tCA,D,Fru,p,a,,,,,,,,
5,5CA,D,Fru,p,a,,,,,,,,
"4,3",WCA,D,Fru,p,a,,,,,,,,
4,4CA,D,Fru,p,a,,,,,,,,
3,3CA,D,Fru,p,a,,,,,,,,
2,2CA,D,Fru,p,a,,,,,,,,
0,0CA,D,Fru,p,a,,,,,,,,
"5,4,3,1",yCB,D,Fru,p,b,,,,,,,,
"5,4,3",xCB,D,Fru,p,b,,,,,,,,
"5,4,1",vCB,D,Fru,p,b,,,,,,,,
"5,4",sCB,D,Fru,p,b,,,,,,,,
"5,3,1",nCB,D,Fru,p,b,,,,,,,,
"5,3",tCB,D,Fru,p,b,,,,,,,,
"5,1",uCB,D,Fru,p,b,,,,,,,,
5,5CB,D,Fru,p,b,,,,,,,,
"4,3,1",TCB,D,Fru,p,b,,,,,,,,
"4,3",WCB,D,Fru,p,b,,,,,,,,
"4,1",YCB,D,Fru,p,b,,,,,,,,
4,4CB,D,Fru,p,b,,,,,,,,
"3,1",ZCB,D,Fru,p,b,,,,,,,,
3,3CB,D,Fru,p,b,,,,,,,,
1,1CB,D,Fru,p,b,,,,,,,,
2,2CB,D,Fru,p,b,,,,,,,,
0,0CB,D,Fru,p,b,,,,,,,,
"1,6,4,3",PCD,D,Fru,f,a,,,,,,,,
"1,6,4",RCD,D,Fru,f,a,,,,,,,,
"1,6,3",SCD,D,Fru,f,a,,,,,,,,
"1,6",XCD,D,Fru,f,a,,,,,,,,
"1,4,3",TCD,D,Fru,f,a,,,,,,,,
"1,4",YCD,D,Fru,f,a,,,,,,,,
"1,3",ZCD,D,Fru,f,a,,,,,,,,
1,1CD,D,Fru,f,a,,,,,,,,
"6,4,3",QCD,D,Fru,f,a,,,,,,,,
"6,4",UCD,D,Fru,f,a,,,,,,,,
"6,3",VCD,D,Fru,f,a,,,,,,,,
6,6CD,D,Fru,f,a,,,,,,,,
"4,3",WCD,D,Fru,f,a,,,,,,,,
4,4CD,D,Fru,f,a,,,,,,,,
3,3CD,D,Fru,f,a,,,,,,,,
2,2CD,D,Fru,f,a,,,,,,,,
0,0CD,D,Fru,f,a,,,,,,,,
"6,4,3,1",PCU,D,Fru,f,b,,,,,,,,
"6,4,3",QCU,D,Fru,f,b,,,,,,,,
"6,4,1",RCU,D,Fru,f,b,,,,,,,,
"6,4",UCU,D,Fru,f,b,,,,,,,,
"6,3,1",SCU,D,Fru,f,b,,,,,,,,
"6,3",VCU,D,Fru,f,b,,,,,,,,
"6,1",XCU,D,Fru,f,b,,,,,,,,
6,6CU,D,Fru,f,b,,,,,,,,
"4,3,1",TCU,D,Fru,f,b,,,,,,,,
"4,3",WCU,D,Fru,f,b,,,,,,,,
"4,1",YCU,D,Fru,f,b,,,,,,,,
4,4CU,D,Fru,f,b,,,,,,,,
"3,1",ZCU,D,Fru,f,b,,,,,,,,
3,3CU,D,Fru,f,b,,,,,,,,
1,1CU,D,Fru,f,b,,,,,,,,
2,2CU,D,Fru,f,b,,,,,,,,
0,0CU,D,Fru,f,b,,,,,,,,
"4,3,2",TDA,D,Lyx,p,a,,,,,,,,
"4,3",WDA,D,Lyx,p,a,,,,,,,,
"4,2",YDA,D,Lyx,p,a,,,,,,,,
4,4DA,D,Lyx,p,a,,,,,,,,
"3,2",ZDA,D,Lyx,p,a,,,,,,,,
3,3DA,D,Lyx,p,a,,,,,,,,
2,2DA,D,Lyx,p,a,,,,,,,,
1,1DA,D,Lyx,p,a,,,,,,,,
0,0DA,D,Lyx,p,a,,,,,,,,
"4,3,2",TDB,D,Lyx,p,b,,,,,,,,
"4,3",WDB,D,Lyx,p,b,,,,,,,,
"4,2",YDB,D,Lyx,p,b,,,,,,,,
4,4DB,D,Lyx,p,b,,,,,,,,
"3,2",ZDB,D,Lyx,p,b,,,,,,,,
3,3DB,D,Lyx,p,b,,,,,,,,
2,2DB,D,Lyx,p,b,,,,,,,,
1,1DB,D,Lyx,p,b,,,,,,,,
0,0DB,D,Lyx,p,b,,,,,,,,
"5,3,2",nDD,D,Lyx,f,a,,,,,,,,
"5,3",tDD,D,Lyx,f,a,,,,,,,,
"5,2",uDD,D,Lyx,f,a,,,,,,,,
5,5DD,D,Lyx,f,a,,,,,,,,
"3,2",ZDD,D,Lyx,f,a,,,,,,,,
3,3DD,D,Lyx,f,a,,,,,,,,
2,2DD,D,Lyx,f,a,,,,,,,,
1,1DD,D,Lyx,f,a,,,,,,,,
0,0DD,D,Lyx,f,a,,,,,,,,
"5,3,2",nDU,D,Lyx,f,b,,,,,,,,
"5,3",tDU,D,Lyx,f,b,,,,,,,,
"5,2",uDU,D,Lyx,f,b,,,,,,,,
5,5DU,D,Lyx,f,b,,,,,,,,
"3,2",ZDU,D,Lyx,f,b,,,,,,,,
3,3DU,D,Lyx,f,b,,,,,,,,
2,2DU,D,Lyx,f,b,,,,,,,,
1,1DU,D,Lyx,f,b,,,,,,,,
0,0DU,D,Lyx,f,b,,,,,,,,
"6,4,3,2",PEA,D,Alt,p,a,,,,,,,,
