linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"4,3",WNA,D,All,p,a,,,,,,,,
"4,2",YNA,D,All,p,a,,,,,,,,
4,4NA,D,All,p,a,,,,,,,,
"3,2",ZNA,D,All,p,a,,,,,,,,
3,3NA,D,All,p,a,,,,,,,,
2,2NA,D,All,p,a,,,,,,,,
1,1NA,D,All,p,a,,,,,,,,
0,0NA,D,All,p,a,,,,,,,,
"6,4,3,2",PNB,D,All,p,b,,,,,,,,
"6,4,3",QNB,D,All,p,b,,,,,,,,
"6,4,2",RNB,D,All,p,b,,,,,,,,
"6,4",UNB,D,All,p,b,,,,,,,,
"6,3,2",SNB,D,All,p,b,,,,,,,,
"6,3",VNB,D,All,p,b,,,,,,,,
"6,2",XNB,D,All,p,b,,,,,,,,
6,6NB,D,All,p,b,,,,,,,,
"4,3,2",TNB,D,All,p,b,,,,,,,,
"4,3",WNB,D,All,p,b,,,,,,,,
"4,2",YNB,D,All,p,b,,,,,,,,
4,4NB,D,All,p,b,,,,,,,,
"3,2",ZNB,D,All,p,b,,,,,,,,
3,3NB,D,All,p,b,,,,,,,,
2,2NB,D,All,p,b,,,,,,,,
1,1NB,D,All,p,b,,,,,,,,
0,0NB,D,All,p,b,,,,,,,,
"4,3,2",TOA,D,GalA,p,a,,,,,,,,
"4,3",WOA,D,GalA,p,a,,,,,,,,
"4,2",YOA,D,GalA,p,a,,,,,,,,
4,4OA,D,GalA,p,a,,,,,,,,
"3,2",ZOA,D,GalA,p,a,,,,,,,,
3,3OA,D,GalA,p,a,,,,,,,,
2,2OA,D,GalA,p,a,,,,,,,,
1,1OA,D,GalA,p,a,,,,,,,,
0,0OA,D,GalA,p,a,,,,,,,,
"4,3,2",TOB,D,GalA,p,b,,,,,,,,
"4,3",WOB,D,GalA,p,b,,,,,,,,
"4,2",YOB,D,GalA,p,b,,,,,,,,
4,4OB,D,GalA,p,b,,,,,,,,
"3,2",ZOB,D,GalA,p,b,,,,,,,,
3,3OB,D,GalA,p,b,,,,,,,,
2,2OB,D,GalA,p,b,,,,,,,,
1,1OB,D,GalA,p,b,,,,,,,,
0,0OB,D,GalA,p,b,,,,,,,,
"1,5,4,3",yPA,D,Psi,p,a,,,,,,,,
"1,5,4",vPA,D,Psi,p,a,,,,,,,,
"1,5,3",nPA,D,Psi,p,a,,,,,,,,
"1,5",uPA,D,Psi,p,a,,,,,,,,
"1,4,3",TPA,D,Psi,p,a,,,,,,,,
"1,4",YPA,D,Psi,p,a,,,,,,,,
"1,3",ZPA,D,Psi,p,a,,,,,,,,
1,1PA,D,Psi,p,a,,,,,,,,
"5,4,3",xPA,D,Psi,p,a,,,,,,,,
"5,4",sPA,D,Psi,p,a,,,,,,,,
"5,3",tPA,D,Psi,p,a,,,,,,,,
5,5PA,D,Psi,p,a,,,,,,,,
"4,3",WPA,D,Psi,p,a,,,,,,,,
4,4PA,D,Psi,p,a,,,,,,,,
3,3PA,D,Psi,p,a,,,,,,,,
2,2PA,D,Psi,p,a,,,,,,,,
0,0PA,D,Psi,p,a,,,,,,,,
"5,4,3,1",yPB,D,Psi,p,b,,,,,,,,
"5,4,3",xPB,D,Psi,p,b,,,,,,,,
"5,4,1",vPB,D,Psi,p,b,,,,,,,,
"5,4",sPB,D,Psi,p,b,,,,,,,,
"5,3,1",nPB,D,Psi,p,b,,,,,,,,
"5,3",tPB,D,Psi,p,b,,,,,,,,
"5,1",uPB,D,Psi,p,b,,,,,,,,
5,5PB,D,Psi,p,b,,,,,,,,
"4,3,1",TPB,D,Psi,p,b,,,,,,,,
"4,3",WPB,D,Psi,p,b,,,,,,,,
"4,1",YPB,D,Psi,p,b,,,,,,,,
4,4PB,D,Psi,p,b,,,,,,,,
"3,1",ZPB,D,Psi,p,b,,,,,,,,
3,3PB,D,Psi,p,b,,,,,,,,
1,1PB,D,Psi,p,b,,,,,,,,
2,2PB,D,Psi,p,b,,,,,,,,
0,0PB,D,Psi,p,b,,,,,,,,
"1,6,4,3",PPD,D,Psi,f,a,,,,,,,,
"1,6,4",RPD,D,Psi,f,a,,,,,,,,
"1,6,3",SPD,D,Psi,f,a,,,,,,,,
"1,6",XPD,D,Psi,f,a,,,,,,,,
"1,4,3",TPD,D,Psi,f,a,,,,,,,,
"1,4",YPD,D,Psi,f,a,,,,,,,,
"1,3",ZPD,D,Psi,f,a,,,,,,,,
1,1PD,D,Psi,f,a,,,,,,,,
"6,4,3",QPD,D,Psi,f,a,,,,,,,,
"6,4",UPD,D,Psi,f,a,,,,,,,,
"6,3",VPD,D,Psi,f,a,,,,,,,,
6,6PD,D,Psi,f,a,,,,,,,,
"4,3",WPD,D,Psi,f,a,,,,,,,,
4,4PD,D,Psi,f,a,,,,,,,,
3,3PD,D,Psi,f,a,,,,,,,,
2,2PD,D,Psi,f,a,,,,,,,,
0,0PD,D,Psi,f,a,,,,,,,,
"6,4,3,1",PPU,D,Psi,f,b,,,,,,,,
"6,4,3",QPU,D,Psi,f,b,,,,,,,,
"6,4,1",RPU,D,Psi,f,b,,,,,,,,
"6,4",UPU,D,Psi,f,b,,,,,,,,
"6,3,1",SPU,D,Psi,f,b,,,,,,,,
"6,3",VPU,D,Psi,f,b,,,,,,,,
"6,1",XPU,D,Psi,f,b,,,,,,,,
6,6PU,D,Psi,f,b,,,,,,,,
"4,3,1",TPU,D,Psi,f,b,,,,,,,,
"4,3",WPU,D,Psi,f,b,,,,,,,,
"4,1",YPU,D,Psi,f,b,,,,,,,,
4,4PU,D,Psi,f,b,,,,,,,,
"3,1",ZPU,D,Psi,f,b,,,,,,,,
3,3PU,D,Psi,f,b,,,,,,,,
1,1PU,D,Psi,f,b,,,,,,,,
2,2PU,D,Psi,f,b,,,,,,,,
0,0PU,D,Psi,f,b,,,,,,,,
"4,3,2",TQA,D,Qui,p,a,,,,,,,,
"4,3",WQA,D,Qui,p,a,,,,,,,,
"4,2",YQA,D,Qui,p,a,,,,,,,,
4,4QA,D,Qui,p,a,,,,,,,,
"3,2",ZQA,D,Qui,p,a,,,,,,,,
3,3QA,D,Qui,p,a,,,,,,,,
2,2QA,D,Qui,p,a,,,,,,,,
1,1QA,D,Qui,p,a,,,,,,,,
0,0QA,D,Qui,p,a,,,,,,,,
"4,3,2",TQB,D,Qui,p,b,,,,,,,,
"4,3",WQB,D,Qui,p,b,,,,,,,,
"4,2",YQB,D,Qui,p,b,,,,,,,,
4,4QB,D,Qui,p,b,,,,,,,,
"3,2",ZQB,D,Qui,p,b,,,,,,,,
3,3QB,D,Qui,p,b,,,,,,,,
2,2QB,D,Qui,p,b,,,,,,,,
1,1QB,D,Qui,p,b,,,,,,,,
0,0QB,D,Qui,p,b,,,,,,,,
"4,3,2",TRA,D,Rib,p,a,,,,,,,,
"4,3",WRA,D,Rib,p,a,,,,,,,,
"4,2",YRA,D,Rib,p,a,,,,,,,,
4,4RA,D,Rib,p,a,,,,,,,,
"3,2",ZRA,D,Rib,p,a,,,,,,,,
3,3RA,D,Rib,p,a,,,,,,,,
2,2RA,D,Rib,p,a,,,,,,,,
1,1RA,D,Rib,p,a,,,,,,,,
0,0RA,D,Rib,p,a,,,,,,,,
"4,3,2",TRB,D,Rib,p,b,,,,,,,,
"4,3",WRB,D,Rib,p,b,,,,,,,,
"4,2",YRB,D,Rib,p,b,,,,,,,,
4,4RB,D,Rib,p,b,,,,,,,,
"3,2",ZRB,D,Rib,p,b,,,,,,,,
3,3RB,D,Rib,p,b,,,,,,,,
2,2RB,D,Rib,p,b,,,,,,,,
1,1RB,D,Rib,p,b,,,,,,,,
0,0RB,D,Rib,p,b,,,,,,,,
"5,3,2",nRD,D,Rib,f,a,,,,,,,,
"5,3",tRD,D,Rib,f,a,,,,,,,,
"5,2",uRD,D,Rib,f,a,,,,,,,,
5,5RD,D,Rib,f,a,,,,,,,,
"3,2",ZRD,D,Rib,f,a,,,,,,,,
3,3RD,D,Rib,f,a,,,,,,,,
2,2RD,D,Rib,f,a,,,,,,,,
1,1RD,D,Rib,f,a,,,,,,,,
0,0RD,D,Rib,f,a,,,,,,,,
"5,3,2",nRU,D,Rib,f,b,,,,,,,,
"5,3",tRU,D,Rib,f,b,,,,,,,,
"5,2",uRU,D,Rib,f,b,,,,,,,,
5,5RU,D,Rib,f,b,,,,,,,,
"3,2",ZRU,D,Rib,f,b,,,,,,,,
3,3RU,D,Rib,f,b,,,,,,,,
2,2RU,D,Rib,f,b,,,,,,,,
1,1RU,D,Rib,f,b,,,,,,,,
0,0RU,D,Rib,f,b,,,,,,,,
"9,8,7,4",ASA,D,Neu5Ac,p,a,,,,,,,,
"9,8,7",BSA,D,Neu5Ac,p,a,,,,,,,,
"9,8,4",CSA,D,Neu5Ac,p,a,,,,,,,,
"9,8",FSA,D,Neu5Ac,p,a,,,,,,,,
"9,7,4",DSA,D,Neu5Ac,p,a,,,,,,,,
"9,7",GSA,D,Neu5Ac,p,a,,,,,,,,
"9,4",ISA,D,Neu5Ac,p,a,,,,,,,,
9,9SA,D,Neu5Ac,p,a,,,,,,,,
"8,7,4",ESA,D,Neu5Ac,p,a,,,,,,,,
"8,7",HSA,D,Neu5Ac,p,a,,,,,,,,
"8,4",JSA,D,Neu5Ac,p,a,,,,,,,,
8,8SA,D,Neu5Ac,p,a,,,,,,,,
"7,4",KSA,D,Neu5Ac,p,a,,,,,,,,
7,7SA,D,Neu5Ac,p,a,,,,,,,,
4,4SA,D,Neu5Ac,p,a,,,,,,,,
2,2SA,D,Neu5Ac,p,a,,,,,,,,
0,0SA,D,Neu5Ac,p,a,,,,,,,,
"7,8,9,4",ASB,D,Neu5Ac,p,b,,,,,,,,
"7,8,9",BSB,D,Neu5Ac,p,b,,,,,,,,
"7,8,4",ESB,D,Neu5Ac,p,b,,,,,,,,
"7,8",HSB,D,Neu5Ac,p,b,,,,,,,,
"7,9,4",DSB,D,Neu5Ac,p,b,,,,,,,,
"7,9",GSB,D,Neu5Ac,p,b,,,,,,,,
"7,4",KSB,D,Neu5Ac,p,b,,,,,,,,
7,7SB,D,Neu5Ac,p,b,,,,,,,,
"8,9,4",CSB,D,Neu5Ac,p,b,,,,,,,,
"8,9",FSB,D,Neu5Ac,p,b,,,,,,,,
"8,4",JSB,D,Neu5Ac,p,b,,,,,,,,
8,8SB,D,Neu5Ac,p,b,,,,,,,,
"9,4",ISB,D,Neu5Ac,p,b,,,,,,,,
9,9SB,D,Neu5Ac,p,b,,,,,,,,
4,4SB,D,Neu5Ac,p,b,,,,,,,,
2,2SB,D,Neu5Ac,p,b,,,,,,,,
0,0SB,D,Neu5Ac,p,b,,,,,,,,
"6,4,3,2",PTA,D,Tal,p,a,,,,,,,,
"6,4,3",QTA,D,Tal,p,a,,,,,,,,
"6,4,2",RTA,D,Tal,p,a,,,,,,,,
"6,4",UTA,D,Tal,p,a,,,,,,,,
"6,3,2",STA,D,Tal,p,a,,,,,,,,
"6,3",VTA,D,Tal,p,a,,,,,,,,
"6,2",XTA,D,Tal,p,a,,,,,,,,
6,6TA,D,Tal,p,a,,,,,,,,
"4,3,2",TTA,D,Tal,p,a,,,,,,,,
"4,3",WTA,D,Tal,p,a,,,,,,,,
"4,2",YTA,D,Tal,p,a,,,,,,,,
4,4TA,D,Tal,p,a,,,,,,,,
"3,2",ZTA,D,Tal,p,a,,,,,,,,
3,3TA,D,Tal,p,a,,,,,,,,
2,2TA,D,Tal,p,a,,,,,,,,
1,1TA,D,Tal,p,a,,,,,,,,
0,0TA,D,Tal,p,a,,,,,,,,
"6,4,3,2",PTB,D,Tal,p,b,,,,,,,,
"6,4,3",QTB,D,Tal,p,b,,,,,,,,
"6,4,2",RTB,D,Tal,p,b,,,,,,,,
"6,4",UTB,D,Tal,p,b,,,,,,,,
"6,3,2",STB,D,Tal,p,b,,,,,,,,
"6,3",VTB,D,Tal,p,b,,,,,,,,
"6,2",XTB,D,Tal,p,b,,,,,,,,
6,6TB,D,Tal,p,b,,,,,,,,
"4,3,2",TTB,D,Tal,p,b,,,,,,,,
"4,3",WTB,D,Tal,p,b,,,,,,,,
"4,2",YTB,D,Tal,p,b,,,,,,,,
4,4TB,D,Tal,p,b,,,,,,,,
"3,2",ZTB,D,Tal,p,b,,,,,,,,
3,3TB,D,Tal,p,b,,,,,,,,
2,2TB,D,Tal,p,b,,,,,,,,
1,1TB,D,Tal,p,b,,,,,,,,
0,0TB,D,Tal,p,b,,,,,,,,
"4,2",YTV,D,Tyvpa,p,a,,,,,,,,
4,4TV,D,Tyvpa,p,a,,,,,,,,
2,2TV,D,Tyvpa,p,a,,,,,,,,
1,1TV,D,Tyvpa,p,a,,,,,,,,
0,0TV,D,Tyvpa,p,a,,,,,,,,
"4,2",YTv,D,Tyvpa,p,b,,,,,,,,
4,4Tv,D,Tyvpa,p,b,,,,,,,,
2,2Tv,D,Tyvpa,p,b,,,,,,,,
1,1Tv,D,Tyvpa,p,b,,,,,,,,
0,0Tv,D,Tyvpa,p,b,,,,,,,,
"4,3,2",TUA,D,IdoA,p,a,,,,,,,,
"4,3",WUA,D,IdoA,p,a,,,,,,,,
"4,2",YUA,D,IdoA,p,a,,,,,,,,
4,4UA,D,IdoA,p,a,,,,,,,,
"3,2",ZUA,D,IdoA,p,a,,,,,,,,
3,3UA,D,IdoA,p,a,,,,,,,,
2,2UA,D,IdoA,p,a,,,,,,,,
1,1UA,D,IdoA,p,a,,,,,,,,
0,0UA,D,IdoA,p,a,,,,,,,,
"4,3,2",TUB,D,IdoA,p,b,,,,,,,,
"4,3",WUB,D,IdoA,p,b,,,,,,,,
"4,2",YUB,D,IdoA,p,b,,,,,,,,
4,4UB,D,IdoA,p,b,,,,,,,,
"3,2",ZUB,D,IdoA,p,b,,,,,,,,
3,3UB,D,IdoA,p,b,,,,,,,,
2,2UB,D,IdoA,p,b,,,,,,,,
1,1UB,D,IdoA,p,b,,,,,,,,
0,0UB,D,IdoA,p,b,,,,,,,,
"6,4,3",QVA,D,GalNAc,p,a,,,,,,,,
"6,4",UVA,D,GalNAc,p,a,,,,,,,,
"6,3",VVA,D,GalNAc,p,a,,,,,,,,
6,6VA,D,GalNAc,p,a,,,,,,,,
"4,3",WVA,D,GalNAc,p,a,,,,,,,,
4,4VA,D,GalNAc,p,a,,,,,,,,
3,3VA,D,GalNAc,p,a,,,,,,,,
1,1VA,D,GalNAc,p,a,,,,,,,,
0,0VA,D,GalNAc,p,a,,,,,,,,
"6,4,3",QVB,D,GalNAc,p,b,,,,,,,,
"6,4",UVB,D,GalNAc,p,b,,,,,,,,
"6,3",VVB,D,GalNAc,p,b,,,,,,,,
6,6VB,D,GalNAc,p,b,,,,,,,,
"4,3",WVB,D,GalNAc,p,b,,,,,,,,
4,4VB,D,GalNAc,p,b,,,,,,,,
3,3VB,D,GalNAc,p,b,,,,,,,,
1,1VB,D,GalNAc,p,b,,,,,,,,
0,0VB,D,GalNAc,p,b,,,,,,,,
"6,4,3",QWA,D,ManNAc,p,a,,,,,,,,
"6,4",UWA,D,ManNAc,p,a,,,,,,,,
"6,3",VWA,D,ManNAc,p,a,,,,,,,,
6,6WA,D,ManNAc,p,a,,,,,,,,
"4,3",WWA,D,ManNAc,p,a,,,,,,,,
4,4WA,D,ManNAc,p,a,,,,,,,,
3,3WA,D,ManNAc,p,a,,,,,,,,
1,1WA,D,ManNAc,p,a,,,,,,,,
0,0WA,D,ManNAc,p,a,,,,,,,,
"6,4,3",QWB,D,ManNAc,p,b,,,,,,,,
"6,4",UWB,D,ManNAc,p,b,,,,,,,,
"6,3",VWB,D,ManNAc,p,b,,,,,,,,
6,6WB,D,ManNAc,p,b,,,,,,,,
"4,3",WWB,D,ManNAc,p,b,,,,,,,,
4,4WB,D,ManNAc,p,b,,,,,,,,
3,3WB,D,ManNAc,p,b,,,,,,,,
1,1WB,D,ManNAc,p,b,,,,,,,,
0,0WB,D,ManNAc,p,b,,,,,,,,
"4,3,2",TXA,D,Xyl,p,a,,,,,,,,
"4,3",WXA,D,Xyl,p,a,,,,,,,,
"4,2",YXA,D,Xyl,p,a,,,,,,,,
4,4XA,D,Xyl,p,a,,,,,,,,
"3,2",ZXA,D,Xyl,p,a,,,,,,,,
3,3XA,D,Xyl,p,a,,,,,,,,
2,2XA,D,Xyl,p,a,,,,,,,,
1,1XA,D,Xyl,p,a,,,,,,,,
0,0XA,D,Xyl,p,a,,,,,,,,
"4,3,2",TXB,D,Xyl,p,b,,,,,,,,
"4,3",WXB,D,Xyl,p,b,,,,,,,,
"4,2",YXB,D,Xyl,p,b,,,,,,,,
4,4XB,D,Xyl,p,b,,,,,,,,
"3,2",ZXB,D,Xyl,p,b,,,,,,,,
3,3XB,D,Xyl,p,b,,,,,,,,
2,2XB,D,Xyl,p,b,,,,,,,,
1,1XB,D,Xyl,p,b,,,,,,,,
0,0XB,D,Xyl,p,b,,,,,,,,
"5,3,2",nXD,D,Xyl,f,a,,,,,,,,
"5,3",tXD,D,Xyl,f,a,,,,,,,,
"5,2",uXD,D,Xyl,f,a,,,,,,,,
5,5XD,D,Xyl,f,a,,,,,,,,
"3,2",ZXD,D,Xyl,f,a,,,,,,,,
3,3XD,D,Xyl,f,a,,,,,,,,
2,2XD,D,Xyl,f,a,,,,,,,,
1,1XD,D,Xyl,f,a,,,,,,,,
0,0XD,D,Xyl,f,a,,,,,,,,
"5,3,2",nXU,D,Xyl,f,b,,,,,,,,
"5,3",tXU,D,Xyl,f,b,,,,,,,,
"5,2",uXU,D,Xyl,f,b,,,,,,,,
5,5XU,D,Xyl,f,b,,,,,,,,
"3,2",ZXU,D,Xyl,f,b,,,,,,,,
3,3XU,D,Xyl,f,b,,,,,,,,
2,2XU,D,Xyl,f,b,,,,,,,,
1,1XU,D,Xyl,f,b,,,,,,,,
0,0XU,D,Xyl,f,b,,,,,,,,
"6,4,3",QYA,D,GlcNAc,p,a,,,,,,,,
"6,4",UYA,D,GlcNAc,p,a,,,,,,,,
"6,3",VYA,D,GlcNAc,p,a,,,,,,,,
6,6YA,D,GlcNAc,p,a,,,,,,,,
"4,3",WYA,D,GlcNAc,p,a,,,,,,,,
4,4YA,D,GlcNAc,p,a,,,,,,,,
3,3YA,D,GlcNAc,p,a,,,,,,,,
1,1YA,D,GlcNAc,p,a,,,,,,,,
0,0YA,D,GlcNAc,p,a,,,,,,,,
"6,4,3",QYB,D,GlcNAc,p,b,,,,,,,,
"6,4",UYB,D,GlcNAc,p,b,,,,,,,,
"6,3",VYB,D,GlcNAc,p,b,,,,,,,,
6,6YB,D,GlcNAc,p,b,,,,,,,,
"4,3",WYB,D,GlcNAc,p,b,,,,,,,,
4,4YB,D,GlcNAc,p,b,,,,,,,,
3,3YB,D,GlcNAc,p,b,,,,,,,,
1,1YB,D,GlcNAc,p,b,,,,,,,,
0,0YB,D,GlcNAc,p,b,,,,,,,,
"4,3,2",TZA,D,GlcA,p,a,,,,,,,,
"4,3",WZA,D,GlcA,p,a,,,,,,,,
"4,2",YZA,D,GlcA,p,a,,,,,,,,
4,4ZA,D,GlcA,p,a,,,,,,,,
"3,2",ZZA,D,GlcA,p,a,,,,,,,,
3,3ZA,D,GlcA,p,a,,,,,,,,
2,2ZA,D,GlcA,p,a,,,,,,,,
1,1ZA,D,GlcA,p,a,,,,,,,,
0,0ZA,D,GlcA,p,a,,,,,,,,
"4,3,2",TZB,D,GlcA,p,b,,,,,,,,
"4,3",WZB,D,GlcA,p,b,,,,,,,,
"4,2",YZB,D,GlcA,p,b,,,,,,,,
4,4ZB,D,GlcA,p,b,,,,,,,,
"3,2",ZZB,D,GlcA,p,b,,,,,,,,
3,3ZB,D,GlcA,p,b,,,,,,,,
2,2ZB,D,GlcA,p,b,,,,,,,,
1,1ZB,D,GlcA,p,b,,,,,,,,
0,0ZB,D,GlcA,p,b,,,,,,,,
"4,3,2",TaA,L,Ara,p,a,,,,,,,,
"4,3",WaA,L,Ara,p,a,,,,,,,,
"4,2",YaA,L,Ara,p,a,,,,,,,,
4,4aA,L,Ara,p,a,,,,,,,,
"3,2",ZaA,L,Ara,p,a,,,,,,,,
3,3aA,L,Ara,p,a,,,,,,,,
2,2aA,L,Ara,p,a,,,,,,,,
1,1aA,L,Ara,p,a,,,,,,,,
0,0aA,L,Ara,p,a,,,,,,,,
"4,3,2",TaB,L,Ara,p,b,,,,,,,,
"4,3",WaB,L,Ara,p,b,,,,,,,,
"4,2",YaB,L,Ara,p,b,,,,,,,,
4,4aB,L,Ara,p,b,,,,,,,,
"3,2",ZaB,L,Ara,p,b,,,,,,,,
3,3aB,L,Ara,p,b,,,,,,,,
2,2aB,L,Ara,p,b,,,,,,,,
1,1aB,L,Ara,p,b,,,,,,,,
0,0aB,L,Ara,p,b,,,,,,,,
"5,3,2",naD,L,Ara,f,a,,,,,,,,
"5,3",taD,L,Ara,f,a,,,,,,,,
"5,2",uaD,L,Ara,f,a,,,,,,,,
5,5aD,L,Ara,f,a,,,,,,,,
"3,2",ZaD,L,Ara,f,a,,,,,,,,
3,3aD,L,Ara,f,a,,,,,,,,
2,2aD,L,Ara,f,a,,,,,,,,
1,1aD,L,Ara,f,a,,,,,,,,
0,0aD,L,Ara,f,a,,,,,,,,
"5,3,2",naU,L,Ara,f,b,,,,,,,,
"5,3",taU,L,Ara,f,b,,,,,,,,
"5,2",uaU,L,Ara,f,b,,,,,,,,
5,5aU,L,Ara,f,b,,,,,,,,
"3,2",ZaU,L,Ara,f,b,,,,,,,,
3,3aU,L,Ara,f,b,,,,,,,,
2,2aU,L,Ara,f,b,,,,,,,,
1,1aU,L,Ara,f,b,,,,,,,,
0,0aU,L,Ara,f,b,,,,,,,,
"5,4,3,1",ybA,L,Sor,p,a,,,,,,,,
"5,4,3",xbA,L,Sor,p,a,,,,,,,,
"5,4,1",vbA,L,Sor,p,a,,,,,,,,
"5,4",sbA,L,Sor,p,a,,,,,,,,
"5,3,1",nbA,L,Sor,p,a,,,,,,,,
"5,3",tbA,L,Sor,p,a,,,,,,,,
"5,1",ubA,L,Sor,p,a,,,,,,,,
5,5bA,L,Sor,p,a,,,,,,,,
"4,3,1",TbA,L,Sor,p,a,,,,,,,,
"4,3",WbA,L,Sor,p,a,,,,,,,,
"4,1",YbA,L,Sor,p,a,,,,,,,,
4,4bA,L,Sor,p,a,,,,,,,,
"3,1",ZbA,L,Sor,p,a,,,,,,,,
3,3bA,L,Sor,p,a,,,,,,,,
1,1bA,L,Sor,p,a,,,,,,,,
2,2bA,L,Sor,p,a,,,,,,,,
0,0bA,L,Sor,p,a,,,,,,,,
"1,5,4,3",ybB,L,Sor,p,b,,,,,,,,
"1,5,4",vbB,L,Sor,p,b,,,,,,,,
"1,5,3",nbB,L,Sor,p,b,,,,,,,,
"1,5",ubB,L,Sor,p,b,,,,,,,,
"1,4,3",TbB,L,Sor,p,b,,,,,,,,
"1,4",YbB,L,Sor,p,b,,,,,,,,
"1,3",ZbB,L,Sor,p,b,,,,,,,,
1,1bB,L,Sor,p,b,,,,,,,,
"5,4,3",xbB,L,Sor,p,b,,,,,,,,
"5,4",sbB,L,Sor,p,b,,,,,,,,
"5,3",tbB,L,Sor,p,b,,,,,,,,
5,5bB,L,Sor,p,b,,,,,,,,
"4,3",WbB,L,Sor,p,b,,,,,,,,
4,4bB,L,Sor,p,b,,,,,,,,
3,3bB,L,Sor,p,b,,,,,,,,
2,2bB,L,Sor,p,b,,,,,,,,
0,0bB,L,Sor,p,b,,,,,,,,
3,3bC,L,Bacpa,p,a,,,,,,,,
1,1bC,L,Bacpa,p,a,,,,,,,,
0,0bC,L,Bacpa,p,a,,,,,,,,
"6,4,3,1",PbD,L,Sor,f,a,,,,,,,,
"6,4,3",QbD,L,Sor,f,a,,,,,,,,
"6,4,1",RbD,L,Sor,f,a,,,,,,,,
"6,4",UbD,L,Sor,f,a,,,,,,,,
"6,3,1",SbD,L,Sor,f,a,,,,,,,,
"6,3",VbD,L,Sor,f,a,,,,,,,,
"6,1",XbD,L,Sor,f,a,,,,,,,,
6,6bD,L,Sor,f,a,,,,,,,,
"4,3,1",TbD,L,Sor,f,a,,,,,,,,
"4,3",WbD,L,Sor,f,a,,,,,,,,
"4,1",YbD,L,Sor,f,a,,,,,,,,
4,4bD,L,Sor,f,a,,,,,,,,
"3,1",ZbD,L,Sor,f,a,,,,,,,,
3,3bD,L,Sor,f,a,,,,,,,,
1,1bD,L,Sor,f,a,,,,,,,,
2,2bD,L,Sor,f,a,,,,,,,,
0,0bD,L,Sor,f,a,,,,,,,,
"1,6,4,3",PbU,L,Sor,f,b,,,,,,,,
"1,6,4",RbU,L,Sor,f,b,,,,,,,,
"1,6,3",SbU,L,Sor,f,b,,,,,,,,
"1,6",XbU,L,Sor,f,b,,,,,,,,
"1,4,3",TbU,L,Sor,f,b,,,,,,,,
"1,4",YbU,L,Sor,f,b,,,,,,,,
"1,3",ZbU,L,Sor,f,b,,,,,,,,
1,1bU,L,Sor,f,b,,,,,,,,
"6,4,3",QbU,L,Sor,f,b,,,,,,,,
"6,4",UbU,L,Sor,f,b,,,,,,,,
"6,3",VbU,L,Sor,f,b,,,,,,,,
6,6bU,L,Sor,f,b,,,,,,,,
"4,3",WbU,L,Sor,f,b,,,,,,,,
4,4bU,L,Sor,f,b,,,,,,,,
3,3bU,L,Sor,f,b,,,,,,,,
2,2bU,L,Sor,f,b,,,,,,,,
0,0bU,L,Sor,f,b,,,,,,,,
"5,4,3,1",ycA,L,Fru,p,a,,,,,,,,
"5,4,3",xcA,L,Fru,p,a,,,,,,,,
"5,4,1",vcA,L,Fru,p,a,,,,,,,,
"5,4",scA,L,Fru,p,a,,,,,,,,
"5,3,1",ncA,L,Fru,p,a,,,,,,,,
"5,3",tcA,L,Fru,p,a,,,,,,,,
"5,1",ucA,L,Fru,p,a,,,,,,,,
5,5cA,L,Fru,p,a,,,,,,,,
"4,3,1",TcA,L,Fru,p,a,,,,,,,,
"4,3",WcA,L,Fru,p,a,,,,,,,,
"4,1",YcA,L,Fru,p,a,,,,,,,,
4,4cA,L,Fru,p,a,,,,,,,,
"3,1",ZcA,L,Fru,p,a,,,,,,,,
3,3cA,L,Fru,p,a,,,,,,,,
1,1cA,L,Fru,p,a,,,,,,,,
2,2cA,L,Fru,p,a,,,,,,,,
0,0cA,L,Fru,p,a,,,,,,,,
"1,5,4,3",ycB,L,Fru,p,b,,,,,,,,
"1,5,4",vcB,L,Fru,p,b,,,,,,,,
"1,5,3",ncB,L,Fru,p,b,,,,,,,,
"1,5",ucB,L,Fru,p,b,,,,,,,,
"1,4,3",TcB,L,Fru,p,b,,,,,,,,
"1,4",YcB,L,Fru,p,b,,,,,,,,
"1,3",ZcB,L,Fru,p,b,,,,,,,,
1,1cB,L,Fru,p,b,,,,,,,,
"5,4,3",xcB,L,Fru,p,b,,,,,,,,
"5,4",scB,L,Fru,p,b,,,,,,,,
"5,3",tcB,L,Fru,p,b,,,,,,,,
5,5cB,L,Fru,p,b,,,,,,,,
"4,3",WcB,L,Fru,p,b,,,,,,,,
4,4cB,L,Fru,p,b,,,,,,,,
3,3cB,L,Fru,p,b,,,,,,,,
2,2cB,L,Fru,p,b,,,,,,,,
0,0cB,L,Fru,p,b,,,,,,,,
"6,4,3,1",PcD,L,Fru,f,a,,,,,,,,
"6,4,3",QcD,L,Fru,f,a,,,,,,,,
"6,4,1",RcD,L,Fru,f,a,,,,,,,,
"6,4",UcD,L,Fru,f,a,,,,,,,,
"6,3,1",ScD,L,Fru,f,a,,,,,,,,
"6,3",VcD,L,Fru,f,a,,,,,,,,
"6,1",XcD,L,Fru,f,a,,,,,,,,
6,6cD,L,Fru,f,a,,,,,,,,
"4,3,1",TcD,L,Fru,f,a,,,,,,,,
"4,3",WcD,L,Fru,f,a,,,,,,,,
